generator_quantizer,algorithm,cycles,success,MAE,P95_over
fixed_offset,global_proportional,750,1.0,0.842817727608776,5.119365692898674
fixed_offset,phase_selected,750,1.0,0.5532341322769405,2.7113426869704247
fixed_offset,set_fixed_offset_model,750,1.0,0.21495875016813734,0.7684023483289956
fixed_offset,tv_fixed_offset_model,750,1.0,0.08557141394371826,0.3163773241745324
floor,global_proportional,750,1.0,0.7666588103098989,3.810801113198183
floor,phase_selected,750,1.0,0.5213617527404931,1.9638051911296825
floor,set_fixed_offset_model,750,1.0,0.2145502052283888,0.6806751704513202
floor,tv_fixed_offset_model,750,1.0,0.07433164210236894,0.27494940731627304
irregular,global_proportional,750,1.0,0.9298963837807748,5.240483497131237
irregular,phase_selected,750,1.0,0.5953314161915149,2.523006039657925
irregular,set_fixed_offset_model,750,0.54,0.28480206218068316,0.9789447213099645
irregular,tv_fixed_offset_model,750,0.54,0.20400233040897306,0.709471627315174
nearest,global_proportional,750,1.0,0.7255317672667482,4.4788482707899595
nearest,phase_selected,750,1.0,0.5141688571620806,2.468263302878248
nearest,set_fixed_offset_model,750,1.0,0.21260823226416592,0.6902505012384241
nearest,tv_fixed_offset_model,750,1.0,0.08389611280163704,0.3116922830565512
switching_offset,global_proportional,750,1.0,0.8213048418774691,4.829409725849206
switching_offset,phase_selected,750,1.0,0.5396359344121876,2.5383204387981158
switching_offset,set_fixed_offset_model,750,0.6733333333333333,0.24484112740254219,0.7649256876341234
switching_offset,tv_fixed_offset_model,750,0.6733333333333333,0.1426316777252899,0.47098295501663295
