factor,level,best_algorithm,best_mean_mae_usd,particle_filter_mean_mae_usd,particle_filter_gap_to_best_usd,particle_filter_rank
speed,extreme_boundary_switch,set_outer_midpoint,80.71444101223608,81.33893172576774,0.6244907135316566,3
speed,extreme_chirp,set_outer_midpoint,55.976095727706216,56.74663014540667,0.7705344177004534,2
speed,extreme_double_reversal,fallback_conservative_on_risk_w0p35_d0p18,53.098429904251894,53.1624810360721,0.06405113182020727,2
speed,extreme_fast_full_sweep,set_outer_midpoint,59.077188846765296,60.057218831513616,0.9800299847483203,3
speed,extreme_late_reversal,single_window_9pp,47.963583902592575,53.41712554937723,5.453541646784657,7
speed,extreme_monotone_full,particle_filter_mixture,49.609103638803504,49.609103638803504,0.0,1
speed,extreme_narrow_excursions,set_outer_midpoint,24.557007204305876,25.30960346156439,0.7525962572585136,2
speed,extreme_random_fourier,set_outer_midpoint,32.524603605075605,33.50189577205105,0.9772921669754453,3
scenario,extreme_alternating_spikes,fallback_conservative_on_risk_w0p35_d0p18,48.66871890865905,48.85309892105278,0.18438001239373136,2
scenario,extreme_first_day_whale,particle_filter_mixture,38.3895883489047,38.3895883489047,0.0,1
scenario,extreme_micro_macro,particle_filter_mixture,56.31637924098288,56.31637924098288,0.0,1
scenario,extreme_rights_mismatch,particle_filter_mixture,60.632379918829464,60.632379918829464,0.0,1
scenario,extreme_sample_edge_bursts,particle_filter_mixture,40.3121265446003,40.3121265446003,0.0,1
scenario,extreme_silent_then_burst,single_window_9pp,67.45080344275763,67.51448534297388,0.06368190021625253,6
scenario,extreme_simultaneous_spike,fallback_conservative_on_risk_w0p35_d0p18,51.75599452005744,51.784345369155865,0.028350849098423225,2
scenario,extreme_v_opposed,particle_filter_mixture,49.34058647405643,49.34058647405643,0.0,1
sample_hours,1.0,particle_filter_mixture,49.071897383358895,49.071897383358895,0.0,1
sample_hours,3.0,particle_filter_mixture,52.91824022085944,52.91824022085944,0.0,1
sample_hours,6.0,particle_filter_mixture,52.93848370599028,52.93848370599028,0.0,1
n_participants,2,particle_filter_mixture,84.56574910746998,84.56574910746998,0.0,1
n_participants,4,particle_filter_mixture,40.93041862902957,40.93041862902957,0.0,1
n_participants,6,particle_filter_mixture,29.43245357370907,29.43245357370907,0.0,1
rights_profile,balanced,particle_filter_mixture,48.95452699958921,48.95452699958921,0.0,1
rights_profile,extreme_skew,fallback_conservative_on_risk_w0p35_d0p18,53.65413839954592,53.70434090371057,0.050202504164651884,2
rights_profile,moderate_skew,particle_filter_mixture,49.50782462505242,49.50782462505242,0.0,1
rights_profile,random,particle_filter_mixture,54.40480255192594,54.40480255192594,0.0,1
quantizer,ceil,particle_filter_mixture,51.368637058819914,51.368637058819914,0.0,1
quantizer,floor,particle_filter_mixture,53.02597552154766,53.02597552154766,0.0,1
quantizer,nearest,particle_filter_mixture,50.53400872984104,50.53400872984104,0.0,1
progress_band,high_88_99,particle_filter_mixture,49.625394844998056,49.625394844998056,0.0,1
progress_band,low_8_25,particle_filter_mixture,56.84070883116341,56.84070883116341,0.0,1
progress_band,medium_45_70,particle_filter_mixture,48.462517634047146,48.462517634047146,0.0,1
