algorithm,cases,mean_mae_usd,mean_mae_bootstrap_ci_low,mean_mae_bootstrap_ci_high,median_case_mae_usd,p95_case_mae_usd,mean_rmse_usd,mean_p95_abs_usd,worst_observed_max_abs_usd,mean_bias_usd,mean_over_usd,mean_under_usd,mean_worst_participant_mae_usd,mean_hold_mae_increment_usd,mean_adjustment_total_variation_usd,mean_adjustment_count_gt_1usd,mean_interval_sample_coverage,mean_interval_width_usd,mean_q_sample_mae_pp,mean_v_sample_mae_usd
particle_filter_calibrated,1134,28.515677193618238,27.669280525847118,29.451796195853728,23.205426895145667,63.63323736081504,43.50149042776857,95.2574296356268,962.8470670852291,3.833164172064218,16.17442068284123,12.341256510777013,49.25503320181895,2.3591440537066064,630.0553087668403,54.652189888300995,0.9108641387960004,100.18137212992046,0.07907461699977694,127.50676434630181
particle_filter_mixture,1134,28.515677193618238,27.52478257290639,29.524964401317696,23.205426895145667,63.63323736081504,43.50149042776857,95.2574296356268,962.8470670852291,3.833164172064218,16.17442068284123,12.341256510777013,49.25503320181895,2.3591440537066064,630.0553087668403,54.652189888300995,0.9108641387960004,100.18137212992046,0.07907461699977694,127.50676434630181
pf_guarded,1134,28.515677193618238,27.5149906051684,29.486528703822184,23.205426895145667,63.63323736081504,43.50149042776857,95.2574296356268,962.8470670852291,3.833164172064218,16.17442068284123,12.341256510777013,49.25503320181895,2.3591440537066064,630.0553087668403,54.652189888300995,0.9108641387960004,100.18137212992046,0.07907461699977694,127.50676434630181
multiscale_window,1134,31.673700429158977,30.609684024876596,32.80663391197082,25.40793327233238,70.02727384037144,48.88416367100188,108.27601961160578,1005.475442027597,-1.8495588643936396,14.91207078238267,16.76162964677631,54.93926632236644,2.021666625137097,1190.9975810876656,51.35846560846561,,,0.23025912764626474,141.76129383714166
multiphase_9pp,1134,31.775265338448712,30.69708691968627,32.963704591038436,25.57571895960794,71.43256909307503,48.999509800245356,108.45835112159789,1005.475442027597,-1.635050723230366,15.070107307609174,16.705158030839538,55.12428068969877,2.0308575619319096,1116.1313086501011,51.2606554967666,,,0.22965820176712257,142.19772215368536
single_window_9pp,1134,31.909924068109664,30.86437336841771,33.046265229129446,26.092359585203837,71.10165071054851,49.20686081131653,108.80288940813301,1005.475442027597,-1.2889597956370715,15.310482136236299,16.59944193187337,55.42571934991064,2.080318416897475,1146.9782347602415,51.35229276895944,,,0.21794740993310385,143.34370921743974
adaptive_phase_extension,1134,32.77966597896489,31.760400213782916,33.851933386947685,26.722044823902934,71.5855498261374,50.513476228928,111.9086059891305,1005.475442027597,-2.9766443733330132,14.90151080281594,17.87815517614895,57.109553770690034,1.9453381163769223,1369.5025849623455,51.29813345091123,,,0.2559609341431924,148.18176651130537
amount_proportion,1134,33.195587030243836,32.13331370726873,34.30468783389529,27.156644392043624,71.10888111250321,49.743629097213876,108.75180712630537,952.9986119772077,2.504134907968677,17.849860969106256,15.345726061137576,58.07133118985667,1.7532350731920503,702.3614210502016,46.38734567901235,,,0.2562626466399707,154.77209408975864
set_outer_midpoint,1134,40.08154338776857,38.7679582052156,41.386369769384046,32.7492179532895,81.98264453382234,54.483538981743386,109.79143918957318,981.6739694774222,4.15393549586137,22.11773944181497,17.9638039459536,66.74933742960606,0.6177582108581509,348.7416469861196,33.914168136390366,1.0,192.95342582795936,0.8707679244113933,167.11322602667292
static_1750,1134,40.197088694116,38.80715943285854,41.50951399105628,32.68190032175712,85.57166800349425,54.979089191061284,110.81431075960529,981.7689694774223,2.002180090461358,21.099634392288678,19.09745430182732,67.72755542583961,0.4477235306409217,354.6834622856387,33.19958847736625,,,0.8862479040713378,167.11322602667292
