algorithm_a,algorithm_b,cases,mean_mae_difference_a_minus_b,median_difference,a_win_fraction,tie_fraction
adaptive_phase_extension,amount_proportion,1134,-0.41592105127894524,-0.025775269180583038,0.5017636684303352,0.0
adaptive_phase_extension,multiphase_9pp,1134,1.0044006405161778,0.8343057493424277,0.29188712522045857,0.006172839506172839
adaptive_phase_extension,multiscale_window,1134,1.1059655498059133,0.8878293061833933,0.2583774250440917,0.008818342151675485
adaptive_phase_extension,particle_filter_calibrated,1134,4.26398878534665,3.167775443749857,0.15255731922398588,0.0
adaptive_phase_extension,particle_filter_mixture,1134,4.26398878534665,3.167775443749857,0.15255731922398588,0.0
adaptive_phase_extension,pf_guarded,1134,4.26398878534665,3.167775443749857,0.15255731922398588,0.0
adaptive_phase_extension,set_outer_midpoint,1134,-7.301877408803676,-3.861024752815686,0.691358024691358,0.0
adaptive_phase_extension,single_window_9pp,1134,0.8697419108552248,0.7539562899497376,0.31569664902998235,0.006172839506172839
adaptive_phase_extension,static_1750,1134,-7.417422715151105,-3.2412153775946795,0.6622574955908289,0.0
amount_proportion,adaptive_phase_extension,1134,0.41592105127894524,0.025775269180583038,0.4982363315696649,0.0
amount_proportion,multiphase_9pp,1134,1.420321691795123,0.7559915384392029,0.40299823633156967,0.0
amount_proportion,multiscale_window,1134,1.5218866010848584,0.7831532419998792,0.3994708994708995,0.0
amount_proportion,particle_filter_calibrated,1134,4.679909836625596,3.239241600432856,0.14638447971781304,0.0
amount_proportion,particle_filter_mixture,1134,4.679909836625596,3.239241600432856,0.14638447971781304,0.0
amount_proportion,pf_guarded,1134,4.679909836625596,3.239241600432856,0.14638447971781304,0.0
amount_proportion,set_outer_midpoint,1134,-6.885956357524732,-3.112514703378519,0.7098765432098766,0.0
amount_proportion,single_window_9pp,1134,1.28566296213417,0.6084440127709474,0.42151675485008816,0.0
amount_proportion,static_1750,1134,-7.00150166387216,-2.306808360710937,0.6472663139329806,0.0
