split,inflation,group,cases,covered,total,coverage,coverage_ci95_low,coverage_ci95_high,mean_width_usd
confirmation,1.0,all,600,182370,215210,0.8474048603689419,0.8354389199865273,0.8588668969208294,249.28939024495236
confirmation,1.15,all,600,186492,215210,0.8665582454346917,0.8547677197498702,0.8777930633455739,286.26669435762454
confirmation,1.3,all,600,189641,215210,0.8811904651270852,0.8696733223049367,0.8921562056978519,319.2971784476798
confirmation,1.5,all,600,191926,215210,0.8918080014869197,0.8803577489821963,0.9027345606162165,357.98259354006467
confirmation,1.75,all,600,193423,215210,0.8987639979554853,0.8872971534388382,0.9095149500322736,400.2096980031494
confirmation,10.0,all,600,198677,215210,0.9231773616467637,0.9147336247646523,0.9312505453774861,676.1357828136842
confirmation,12.0,all,600,198853,215210,0.9239951675108034,0.9154378146217638,0.9320223286696546,686.1867398594501
confirmation,16.0,all,600,199090,215210,0.9250964174527206,0.9168595951857934,0.9330213865340747,699.2449714252482
confirmation,2.0,all,600,194417,215210,0.9033827424376191,0.8922087600719122,0.9138256117308233,436.1939656306672
confirmation,2.5,all,600,195683,215210,0.9092653687096325,0.8986829406565431,0.9191600719569777,492.81596617861794
confirmation,24.0,all,600,199366,215210,0.9263788857395102,0.9184707416579709,0.9339814395053674,712.5170556502801
confirmation,3.0,all,600,196451,215210,0.9128339761163514,0.9027127802158706,0.9225087766470237,533.4390330167687
confirmation,4.0,all,600,197213,215210,0.9163747037777055,0.9066944419056265,0.9255205533983353,585.2961623492004
confirmation,5.0,all,600,197676,215210,0.9185260907950374,0.909325360040288,0.9274127674786254,616.4628955541029
confirmation,6.0,all,600,197953,215210,0.9198132057060545,0.9107345367123879,0.9284253583527329,636.788374468688
confirmation,8.0,all,600,198425,215210,0.922006412341434,0.9135510754478174,0.9302107569057669,661.4148093920581
confirmation,deterministic,all,600,200538,215210,0.9318247293341387,0.9242964912936652,0.9390280358018673,764.6421657197182
confirmation,1.0,expanded,413,96632,106648,0.9060835646238091,0.8916205315386223,0.9194614873029527,232.41725971206185
confirmation,1.15,expanded,413,99209,106648,0.9302471682544445,0.9175791563882334,0.9415776293989612,267.2715738372652
confirmation,1.3,expanded,413,100883,106648,0.9459436651413997,0.9350308458673541,0.9554812329660815,302.09174114086187
confirmation,1.5,expanded,413,101806,106648,0.9545983047033231,0.9440708710853334,0.9636086992385466,347.4070924757883
confirmation,1.75,expanded,413,102330,106648,0.9595116645412948,0.9496216270448286,0.9679243098742364,399.6789358024382
confirmation,10.0,expanded,413,103985,106648,0.9750300052509189,0.9693131111496479,0.9801686486066065,796.1812643297906
