split,particle_count,cases,raw_mean_mae_usd,projected_mean_mae_usd,projected_case_p95_mae_usd,projected_mean_rmse_usd,projected_mean_bias_usd,projection_delta_mae_usd,cases_improved_by_projection,cases_worsened_by_projection,mean_projection_fraction,mean_runtime_seconds,total_runtime_seconds
confirmation,120,600,119.48029813074328,119.49880980069673,346.9155688272887,225.92554043923843,-2.90523168492105,0.01851166995344938,0.5216666666666666,0.3383333333333333,0.2403277645927374,0.051213991827486705,30.728395096492022
confirmation,240,600,116.64829186430082,116.64431765427061,347.79948527827764,222.2720370507707,-3.9825333244048307,-0.003974210030197627,0.4766666666666667,0.335,0.23719777321969143,0.06663368033322815,39.9802081999369
confirmation,320,600,114.85699368412168,114.9362911653459,324.61764541904677,219.91114080043266,-4.08701533199209,0.07929748122421267,0.43,0.36833333333333335,0.22812080360733158,0.07772367216801891,46.63420330081135
confirmation,480,600,115.26826071081821,115.30455496087039,352.27383488913193,220.78773237907842,-3.576740401516264,0.03629425005220101,0.43666666666666665,0.3333333333333333,0.22839943155174203,0.10067995383171364,60.40797229902819
confirmation,960,600,113.32231272892187,113.35201238252249,331.3813672679428,217.75169833978825,-4.854661159017569,0.029699653600619377,0.405,0.35833333333333334,0.22510172765791917,0.16433834200336908,98.60300520202145
confirmation,1920,600,112.81616856095728,112.6855373698567,325.16990446416673,217.51428118217083,-5.170151271649535,-0.130631191100551,0.3933333333333333,0.35333333333333333,0.2214538326705017,0.28847369517432525,173.08421710459515
development,120,300,117.18106906329034,117.43080395184006,348.6108956276067,218.4477693701575,2.21882675920009,0.24973488854973533,0.49666666666666665,0.33666666666666667,0.23438277902468882,0.048531379324073594,14.559413797222078
development,240,300,115.3983196725107,115.55024964148862,337.89650761251426,215.90749025498158,-2.1050061939982485,0.15192996897794228,0.44666666666666666,0.32666666666666666,0.22359020894411094,0.06321382699379076,18.96414809813723
development,320,300,114.73989132983576,114.82867211150209,343.6056645076627,214.7444872558055,0.7510136431367975,0.08878078166634604,0.38666666666666666,0.36333333333333334,0.21856364198260053,0.0747512016678229,22.42536050034687
development,480,300,112.73812672935883,112.76558719648814,334.8412282247423,212.4297789747317,-1.703654329932239,0.027460467129320456,0.44333333333333336,0.29,0.2131893479192097,0.0953634500131011,28.60903500393033
development,960,300,111.98250585304791,111.98466878243218,339.30913588862825,211.63897825847917,-1.4947582015240384,0.002162929384241365,0.36,0.36,0.21293693493749336,0.15896515400304148,47.689546200912446
development,1920,300,111.92172368402107,111.99969114633132,324.8586733456174,211.62837220058955,-1.976176245326329,0.07796746231022396,0.3466666666666667,0.36,0.20664588083825833,0.27720200232385345,83.16060069715604
